;;period;span.start;span.end;span.n;span.missing;log;adjust;likelihood.ll;likelihood.adjustedll;likelihood.ssqerr;likelihood.aic;likelihood.bic;likelihood.aicc;likelihood.bicc;likelihood.bic2;likelihood.hannanquinn;likelihood.nparams;likelihood.nobs;likelihood.neffectiveobs;likelihood.df;arima.p;arima.d;arima.q;arima.bp;arima.bd;arima.bq;arima.theta(1);;;arima.theta(2);;;arima.phi(1);;;arima.phi(2);;;arima.phi(3);;;arima.btheta(1);;;arima.bphi(1);;;regression.espan.start;regression.espan.end;regression.espan.n;regression.espan.missing;regression.mean;regression.nlp;regression.ntd;regression.leaster;regression.nmh;regression.nout;regression.nao;regression.nls;regression.ntc;regression.nso;regression.nusers;regression.mu;;;regression.lp;regression.td-derived;regression.td-ftest;regression.easter;regression.outlier(1);;;regression.outlier(2);;;regression.outlier(3);;;regression.outlier(4);;;regression.outlier(5);;;regression.outlier(6);;;regression.outlier(7);;;regression.outlier(8);;;regression.outlier(9);;;regression.outlier(10);;;regression.outlier(11);;;regression.outlier(12);;;regression.outlier(13);;;regression.outlier(14);;;regression.outlier(15);;;regression.outlier(16);;;regression.outlier(17);;;regression.outlier(18);;;regression.outlier(19);;;regression.outlier(20);;;regression.outlier(21);;;regression.outlier(22);;;regression.outlier(23);;;regression.outlier(24);;;regression.outlier(25);;;regression.outlier(26);;;regression.outlier(27);;;regression.outlier(28);;;regression.outlier(29);;;regression.outlier(30);;;residuals.n;residuals.df;residuals.dfc;residuals.ser;residuals.ser_ml;residuals.type;residuals.mean;residuals.skewness;residuals.kurtosis;residuals.doornikhansen;residuals.lb;residuals.bp;residuals.lb2;residuals.bp2;residuals.seaslb;residuals.seasbp;residuals.nruns;residuals.lruns;residuals.nudruns;residuals.ludruns;mode;seasonal;diagnostics.seas-si-evolutive;diagnostics.seas-si-stable;diagnostics.seas-res-combined;diagnostics.seas-res-combined3;diagnostics.seas-res-evolutive;diagnostics.seas-res-stable;diagnostics.seas-sa-combined;diagnostics.seas-sa-combined3;diagnostics.seas-sa-evolutive;diagnostics.seas-sa-stable;diagnostics.seas-i-combined;diagnostics.seas-i-combined3;diagnostics.seas-i-evolutive;diagnostics.seas-i-stable;diagnostics.seas-lin-qs;diagnostics.seas-lin-f;diagnostics.seas-lin-friedman;diagnostics.seas-lin-kw;diagnostics.seas-lin-periodogram;diagnostics.seas-lin-spectralpeaks;diagnostics.seas-res-qs;diagnostics.seas-res-f;diagnostics.seas-res-friedman;diagnostics.seas-res-kw;diagnostics.seas-res-periodogram;diagnostics.seas-res-spectralpeaks;diagnostics.seas-sa-qs;diagnostics.seas-sa-f;diagnostics.seas-sa-friedman;diagnostics.seas-sa-kw;diagnostics.seas-sa-periodogram;diagnostics.seas-sa-spectralpeaks;diagnostics.seas-i-qs;diagnostics.seas-i-f;diagnostics.seas-i-friedman;diagnostics.seas-i-kw;diagnostics.seas-i-periodogram;diagnostics.seas-i-spectralpeaks;diagnostics.seas-sa-ac1;diagnostics.td-res-all;diagnostics.td-res-last;diagnostics.td-sa-all;diagnostics.td-sa-last;diagnostics.td-i-all;diagnostics.td-i-last;diagnostics.fcast-insample-mean;diagnostics.fcast-outsample-mean;diagnostics.fcast-outsample-variance;m-statistics.m1;m-statistics.m2;m-statistics.m3;m-statistics.m4;m-statistics.m5;m-statistics.m6;m-statistics.m7;m-statistics.m8;m-statistics.m9;m-statistics.m10;m-statistics.m11;m-statistics.q;m-statistics.q-m2;variancedecomposition.cycle;variancedecomposition.seasonality;variancedecomposition.irregular;variancedecomposition.tdh;variancedecomposition.others;variancedecomposition.total;quality.summary;decomposition.icratio;decomposition.trend-filter;decomposition.seasonal-filters;decomposition.d9-global-msr;diagnostics.seas-lin-combined;diagnostics.seas-lin-evolutive;diagnostics.seas-lin-stable;diagnostics.seas-si-combined;diagnostics.seas-si-combined3
Feuil2 * ALIMENTATION ET BOISSON NON ALCOOLISÉES (frozen);;12;2012-01-01;2026-02-01;170;0;1;None;574,387623487;-127,083556824;0,005152255;264,167113648;279,416393685;264,567113648;-10,188693314;-7,202089532;270,360710943;5;170;156;151;0;2;1;0;1;1;-0,906017;-24,1455;0;;;;;;;;;;;;;-0,858087;-8,7016;0;;;;2012-01-01;2026-02-01;170;0;0;0;0;0;0;2;0;2;0;0;0;;;;;;;;LS (2021-12);0,023885;4,3071;LS (2026-01);-0,049824;-8,5732;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;156;154;152;0,005822063;0,005746936;QR_Transformed;;;;;;;;;;;;;;;Multiplicative;1;0,10256774;0;None;None;0,494230462;0,171842584;None;None;0;0,999998846;None;None;0,369841727;0,998125398;;;;;;-t.-t.--.--.-t.--;;;;;;A-.a-.--.--.-t.--;;;;;;--.--.--.--.--.--;;;;;;--.--.--.--.--.--;0,11542264;;;;;;;;;;0,309956305;0,009086444;0;0,212897834;0,030133566;0,013589334;0,537979018;1,056570641;0,524675653;0,957009754;0,806284095;0,331755809;0,371636293;0,849852418;0,004978017;0,000869099;0;0,043520873;0,899220407;Good;0,603036768;9;S3X5;3,966026665;Present;0,038817489;0;Present;Present
Feuil2 * BOISSONS ALCOOLISÉES, TABAC ET STUPÉFIANT (frozen);;12;2012-01-01;2026-02-01;170;0;0;None;-62,156940008;-62,156940008;16,578753782;134,313880015;149,595109042;134,711231009;-2,119302273;0,952835089;140,520122738;5;170;157;152;0;1;0;0;1;1;;;;;;;;;;;;;;;;-0,999904;-10,8581;0;;;;2012-01-01;2026-02-01;170;0;0;0;0;0;0;3;1;1;1;0;0;;;;;;;;LS (2015-02);5,309508;11,0039;AO (2015-02);-1,751145;-5,1265;TC (2026-01);-3,349652;-10,2379;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;157;154;153;0,329177563;0,324957163;QR_Transformed;;;;;;;;;;;;;;;Additive;1;0,207619448;0,000000093;None;None;0,673212074;0,908737646;None;None;0,000003385;0,997797103;None;None;0,7276407;0,892519951;;;;;;--.--.--.a-.--.--;;;;;;--.--.--.--.--.--;;;;;;--.--.--.--.-t.--;;;;;;--.--.--.--.-t.--;-0,084340733;;;;;;;;;;0,318767961;3;0;0,638693501;0,054521872;0,338175391;0,977382408;1,423321885;0,688033458;1,168190743;1,14914404;0,86920432;0,605847551;0,661020188;0,006240691;0,002792463;0;1,202539394;1,872592737;Good;0,53845279;9;S3X5;4,845438477;None;0,015160443;0,010811071;ProbablyNone;ProbablyNone
Feuil2 * ARTICLES D'HABILLEMENT ET CHAUSSURES (frozen);;12;2012-01-01;2026-02-01;170;0;0;None;-29,411548926;-29,411548926;13,373067894;70,823097851;89,602490141;71,34161637;-2,384883738;0,530192249;78,444128835;6;170;169;163;0;1;0;1;0;1;;;;;;;;;;;;;;;;-0,315941;-2,2325;0,0269;-0,828918;-10,0047;0;2012-01-01;2026-02-01;170;0;1;0;0;0;0;2;1;1;0;0;0;Constant;0,148779;2,1538;;;;;AO (2016-11);-0,692773;-3,9003;LS (2026-01);-1,530079;-5,3484;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;169;166;164;0,285557519;0,281301581;QR_Transformed;;;;;;;;;;;;;;;Additive;1;0,01137015;0;None;None;0,00438984;0,791241761;None;None;0;0,999957331;None;None;0,04492359;0,929649631;;;;;;--.At.at.At.At.at;;;;;;--.--.--.--.--.--;;;;;;--.--.--.--.a-.--;;;;;;--.--.--.--.A-.--;0,055991582;;;;;;;;;;0,341979528;0,013151312;0;0,212897834;0;0,456559139;0,941624938;1,679003157;1,040460267;2,063216197;1,975758784;0,619746265;0,694718675;1,007545013;0,00702332;0,001273805;0;0,031423644;1,047265782;Good;0,549995131;9;S3X5;2,858602153;None;0,008933171;0,000009728;Present;ProbablyNone
Feuil2 * LOGEMENT, EAU, ÉLECTRICITÉ, GAZ ET AUTRES COMBUSTIBLES (frozen);;12;2012-01-01;2026-02-01;170;0;0;None;-106,799825349;-106,799825349;34,963117007;219,599650698;228,989346842;219,745105243;-1,514896148;1,354966549;223,41016619;3;170;169;166;1;1;2;0;0;0;0,585557;;nan;-0,332179;;nan;0,860591;;nan;;;;;;;;;;;;;2012-01-01;2026-02-01;170;0;1;0;0;0;0;0;0;0;0;0;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;169;167;167;0,45755872;0,454843214;QR_Transformed;;;;;;;;;;;;;;;Additive;1;0,006779186;0,014904524;None;None;0,028162146;0,467372984;None;None;0,027824272;0,987156775;None;None;0,462573254;0,794204516;;;;;;--.--.--.--.--.--;;;;;;--.--.--.--.--.--;;;;;;--.--.--.--.--.--;;;;;;--.--.--.--.--.--;-0,280092604;;;;;;;;;;1,650077978;0,291508337;0,080678897;0,141931889;0,258741222;0,41227862;1,77436708;1,948549381;0,987166757;1,780054235;1,517043968;0,942955684;1,023471648;0,957341352;0,020665511;0,028442329;0;0,0243048;1,030753991;Good;1,161357793;13;S3X5;5,03069655;None;0,000001873;0,34758737;None;None
Feuil2 * MEUBLES, ARTICLES DE MÉNAGES ET ENTRETIEN COURANT DU FOYER (frozen);;12;2012-01-01;2025-12-01;168;0;0;None;20,655647861;20,655647861;7,548270357;-29,311295722;-10,639368992;-28,782993835;-2,936693807;-0,064092584;-21,732235783;6;168;166;160;1;2;1;0;0;0;-0,383725;-3,1188;0,0022;;;;0,420013;3,7202;0,0003;;;;;;;;;;;;;2012-01-01;2025-12-01;168;0;0;0;0;0;0;3;2;0;1;0;0;;;;;;;;AO (2012-06);-0,626893;-4,6947;AO (2013-02);0,627072;4,6964;TC (2016-03);0,786672;4,7324;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;166;163;161;0,216526365;0,213240494;QR_Transformed;;;;;;;;;;;;;;;Additive;1;0,000657334;0,258913499;None;None;0,00067582;0,888213215;None;None;0;0,999997035;None;None;0,031775598;0,952205444;;;;;;--.--.--.a-.--.--;;;;;;--.--.A-.a-.--.--;;;;;;--.--.--.--.--.--;;;;;;--.--.--.a-.--.--;0,473800085;;;;;;;;;;0,218594291;0,005303466;0;0,475944605;0;0,138398537;2,528684944;2,049210814;1,038496656;1,982137932;1,866968501;0,899625303;1,010159462;0,997465274;0,000580334;0,000529742;0;0,001140086;0,999715435;Good;0,399945916;9;S3X5;4,345996342;None;0,002671651;0,971420458;None;ProbablyNone
Feuil2 * SANTE (frozen);;12;2012-01-01;2025-12-01;168;0;0;None;216,795255147;216,795255147;0,718068296;-395,590510295;-336,348627859;-390,420442267;-4,897544356;-2,01406364;-371,545534202;19;168;167;148;1;1;1;1;0;0;0,691518;2,9155;0,0041;;;;0,476516;1,6937;0,0924;;;;;;;;;;0,424095;5,6873;0;2012-01-01;2025-12-01;168;0;1;0;0;0;0;14;4;4;6;0;0;Constant;0,030991;6,9128;;;;;TC (2012-02);0,331509;4,6139;TC (2012-03);0,314135;4,813;LS (2012-07);0,246594;3,6677;TC (2013-02);0,211088;3,493;LS (2013-10);0,718459;11,4495;AO (2013-12);-0,263939;-6,364;TC (2014-05);0,326198;5,4899;LS (2015-01);0,410597;6,1582;AO (2015-02);-0,17922;-4,3839;LS (2015-05);-0,573129;-8,2111;TC (2015-10);0,585286;10,5459;AO (2016-04);0,258492;6,1342;AO (2017-03);-0,224879;-5,616;TC (2018-07);0,246404;4,4726;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;167;152;149;0,06942082;0,065572938;QR_Transformed;;;;;;;;;;;;;;;Additive;1;0,266045387;0,052204948;None;None;0,129882673;0,232629147;None;None;0,000725924;0,999553628;None;None;0,001653644;0,96776114;;;;;;--.A-.--.--.--.--;;;;;;--.At.--.--.--.--;;;;;;--.--.-t.--.--.--;;;;;;--.--.-t.--.--.--;0,139723055;;;;;;;;;;0,364090657;0,098468252;0;0,547336296;0,098429851;0,636812037;1,705479728;1,694484343;0,523855553;1,878321929;1,747808419;0,772851322;0,856202039;0,872051922;0,004983852;0,005699991;0;0,421134104;1,303869869;Good;0,647970532;9;S3X5;5,592030092;None;0,00117647;0,553459087;None;None
Feuil2 * TRANSPORTS (frozen);;12;2012-01-01;2025-12-01;168;0;0;None;3,389855853;3,389855853;9,386889933;23,220288293;69,99019548;26,39909624;-2,449626411;0,419102967;42,203164156;15;168;167;152;1;1;2;0;0;0;0,551503;0,6742;0,5012;-0,106792;-0,5519;0,5818;0,731378;0,8998;0,3697;;;;;;;;;;;;;2012-01-01;2025-12-01;168;0;1;0;0;0;0;10;1;8;1;0;0;Constant;0,110215;6,5453;;;;;LS (2012-07);1,141607;4,6622;LS (2014-07);10,058708;41,08;LS (2016-01);-1,072566;-4,3804;AO (2020-04);3,778627;19,9091;LS (2023-02);8,525533;34,3219;LS (2023-03);5,113954;20,59;LS (2023-06);1,426728;5,8263;LS (2024-02);10,927452;13,6149;TC (2024-02);-3,495867;-4,6189;LS (2024-03);1,41555;3,9887;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;167;156;153;0,247693807;0,237084208;QR_Transformed;;;;;;;;;;;;;;;Additive;1;0,006736815;0,283571743;None;None;0,214138273;0,339319122;None;None;0,000006148;0,998723151;None;None;0,03199891;0,877243127;;;;;;--.--.-t.--.--.--;;;;;;--.--.-t.--.--.--;;;;;;--.--.--.--.--.--;;;;;;--.--.--.--.--.--;-0,176375344;;;;;;;;;;0,695905773;3;0;0,380755684;0,156913859;0,270101564;2,412377333;2,12987521;1,108570516;2,181750781;1,927783327;1,299622198;1,089463144;0,007569448;0,000060539;0,000054372;0;1,209102991;1,216787349;Uncertain;0,851376026;9;S3X5;4,675253909;None;0,000144731;0,878467333;None;None
Feuil2 * COMMUNICATIONS (frozen);;12;2012-01-01;2025-12-01;168;0;1;None;797,213671677;27,931904075;0,000673709;-31,863808151;5,552117598;-29,837834125;-12,08359328;-9,179709087;-16,677507461;12;168;167;155;0;1;0;1;0;0;;;;;;;;;;;;;;;;;;;-0,623425;-9,1965;0;2012-01-01;2025-12-01;168;0;0;0;0;0;0;10;5;3;2;0;0;;;;;;;;AO (2013-04);0,012212;9,5435;AO (2014-03);0,006058;4,7335;TC (2014-06);0,012247;6,9422;AO (2014-08);-0,012725;-9,6538;AO (2014-11);0,007119;5,7082;TC (2015-01);-0,00765;-4,6916;AO (2015-06);0,013112;9,714;LS (2015-09);-0,013723;-7,3522;LS (2016-03);-0,012734;-7,1948;LS (2016-11);0,01233;6,9917;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;167;157;156;0,002078135;0,002008528;QR_Transformed;;;;;;;;;;;;;;;Multiplicative;1;0,000000008;0,01986057;None;None;0,000733404;0,976042758;None;None;0;0,997326866;None;None;0,000080164;0,807976071;;;;;;-t.--.At.At.a-.--;;;;;;--.--.--.--.--.--;;;;;;--.--.--.at.--.--;;;;;;--.--.--.at.--.--;0,20685653;;;;;;;;;;0,498452759;0,00586717;0;0,547336296;0,19827087;0,16461025;2,411582175;1,831176658;1,136926563;1,208078951;1,072810803;0,865635996;0,971899559;0,705231896;0,001324776;0,000530882;0;0,095165429;0,802252983;Severe;0,803997493;9;S3X5;3,588474376;None;0,000000106;0,268207305;None;None
Feuil2 * LOISIRS ET CULTURES (frozen);;12;2012-01-01;2025-12-01;168;0;0;None;29,080083232;29,080083232;6,898663858;-46,160166464;-27,452203589;-45,635166464;-3,033432716;-0,164384453;-38,567016119;6;168;167;161;0;1;0;1;0;0;;;;;;;;;;;;;;;;;;;-0,085282;-1,0335;0,3029;2012-01-01;2025-12-01;168;0;1;0;0;0;0;3;0;2;1;0;0;Constant;0,07353;4,2192;;;;;LS (2015-01);-0,876884;-4,2541;TC (2015-09);1,839655;9,7067;LS (2020-04);0,897126;4,3524;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;167;163;162;0,206359746;0,203247053;QR_Transformed;;;;;;;;;;;;;;;Additive;1;0,000620404;0,000008287;None;ProbablyNone;0,004043977;0,109628491;None;None;0,000000652;0,997181164;None;None;0,005404516;0,969734406;;;;;;--.--.A-.--.A-.--;;;;;;--.--.A-.--.A-.--;;;;;;--.--.--.--.a-.--;;;;;;--.--.--.--.--.--;-0,126181952;;;;;;;;;;0,636393544;0,10745918;0;0,404552914;0,219941771;0,138687054;1,343610644;1,925410733;0,980083599;2,195088206;1,963514277;0,757465016;0,837802816;0,426938784;0,012247615;0,007161;0;0,333607421;0,779954821;Good;0,850248755;9;S3X5;4,346717636;None;0,014097225;0,007409886;None;Present
Feuil2 * ENSEIGNEMENTS (frozen);;12;2012-01-01;2026-02-01;170;0;0;None;221,139901806;221,139901806;0,496982141;-372,279803612;-265,311200425;-351,453357331;-4,660463825;-1,689880257;-328,836104557;35;170;157;122;0;1;1;0;1;1;0,999991;38,5949;0;;;;;;;;;;;;;-0,717142;-6,8544;0;;;;2012-01-01;2026-02-01;170;0;0;0;0;0;0;32;6;19;7;0;0;;;;;;;;AO (2012-05);0,203703;7,3495;LS (2012-08);1,772933;27,8711;LS (2012-10);0,219099;3,4695;AO (2012-12);0,133486;5,1486;LS (2013-07);-0,332117;-6,3509;LS (2013-09);-0,231737;-4,7574;LS (2014-08);0,202682;5,0885;AO (2014-11);0,184229;8,4919;TC (2015-07);-2,401314;-9,6355;LS (2015-07);1,922193;6,6935;TC (2015-09);0,322563;6,1761;LS (2015-11);-0,287145;-5,4685;LS (2016-03);0,221998;5,5123;TC (2016-08);-0,260154;-5,9223;LS (2016-10);-0,81855;-15,095;AO (2017-01);0,139567;5,1642;TC (2017-04);0,196501;5,1335;LS (2019-09);-0,483022;-11,7661;AO (2019-12);0,321811;15,7978;LS (2020-08);-0,386512;-6,1106;TC (2020-09);-0,244035;-4,5542;LS (2021-07);0,32924;6,9911;TC (2021-09);-0,413835;-10,0976;LS (2022-07);0,445667;7,0346;LS (2022-08);1,338664;15,8126;LS (2022-09);0,317819;4,9578;LS (2023-08);0,54137;19,8181;LS (2024-07);0,286849;6,4047;AO (2024-09);-0,106604;-4,6457;LS (2025-09);-0,574665;-15,4336;157;125;123;0,063564968;0,056262699;QR_Transformed;;;;;;;;;;;;;;;Additive;1;0,000729713;0;None;None;0,552228235;0,947125695;None;None;0,000000581;0,988296372;None;None;0,194985998;0,443727079;;;;;;At.At.aT.At.AT.AT;;;;;;--.--.--.--.--.--;;;;;;--.--.--.--.a-.A-;;;;;;--.--.--.--.--.A-;0,347860114;;;;;;;;;;0,018533364;3;0;1,206421057;0;0,658763937;0,168873935;0,569242549;0,086121958;0,687291123;0,64857667;0,62008284;0,28870197;0,001844397;0,002154628;0,00001102;0;9,391545407;9,395555452;Severe;0,18640724;9;S3X3;2,353090158;Present;0,000005323;0;Present;Present
Feuil2 * RESTAURANTS ET HÔTELS (frozen);;12;2012-01-01;2025-12-01;168;0;0;None;-18,462446029;-18,462446029;12,164867501;60,924892057;98,340817806;62,950866083;-2,282328363;0,588867172;76,111192747;12;168;167;155;3;1;0;0;0;1;;;;;;;-0,098776;-1,2691;0,2063;0,128467;1,6122;0,109;-0,171557;-2,1367;0,0342;0,163513;1,9651;0,0512;;;;2012-01-01;2025-12-01;168;0;1;0;0;0;0;6;1;5;0;0;0;Constant;0,201695;6,9192;;;;;AO (2015-01);-1,144737;-6,3079;LS (2015-03);1,205817;4,4202;LS (2019-03);1,400647;5,2161;LS (2021-12);1,043411;3,8847;LS (2022-05);1,303518;4,8544;LS (2022-09);1,279936;4,7653;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;167;160;156;0,279248849;0,269895383;QR_Transformed;;;;;;;;;;;;;;;Additive;1;0,006298335;0,001867026;None;None;0,032620879;0,39048397;None;None;0,000001051;0,999848938;None;None;0,022698472;0,922561365;;;;;;--.--.At.--.--.--;;;;;;--.a-.A-.--.--.--;;;;;;--.--.--.--.--.--;;;;;;--.--.--.--.--.--;0,084282684;;;;;;;;;;0,254055861;0,089085226;0;0,261769533;0;0,031734378;1,570872716;2,000904733;1,231432609;1,798832006;1,60662934;0,704559118;0,780628925;0,11439306;0,002152852;0,001190842;0;0,866325514;0,984062268;Good;0,490243655;9;S3X5;3,920664055;None;0,001046432;0,029211834;None;None
Feuil2 * BIENS ET SERVICES DIVERS (frozen);;12;2012-01-01;2025-12-01;168;0;0;None;42,572381859;42,572381859;5,854030619;-69,144763718;-44,200813219;-68,233371313;-3,136336707;-0,264675528;-59,020563258;8;168;167;159;3;1;1;0;0;0;-0,530573;-4,276;0;;;;-0,54692;-3,9911;0,0001;-0,094557;-1,0692;0,2866;-0,201725;-2,273;0,0244;;;;;;;2012-01-01;2025-12-01;168;0;1;0;0;0;0;2;1;0;1;0;0;Constant;0,165046;3,8865;;;;;AO (2013-12);0,696832;5,2593;TC (2014-12);0,884214;5,38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;167;164;160;0,191279093;0,187227337;QR_Transformed;;;;;;;;;;;;;;;Additive;1;0,01592463;0,002195527;None;None;0,00001568;0,468690811;None;None;0;0,999999984;None;None;0,021685821;0,998708926;;;;;;--.--.at.--.-t.--;;;;;;--.--.At.--.-t.--;;;;;;--.--.--.--.--.--;;;;;;--.--.--.--.--.--;0,235159998;;;;;;;;;;0,207892214;0,016494245;0;0,190377842;0;0,02026195;1,53994454;2,58353708;0,803218355;2,950561477;2,830908281;0,785381699;0,880412732;0,998697189;0,001534088;0,001642802;0;0,004014949;1,005889028;Good;0,417445331;9;S3X5;3,949345124;None;0,20309184;0,346492465;None;None
Feuil2 * INDICE GENERAL (frozen);;12;2012-01-01;2025-12-01;168;0;1;None;760,845638806;9,153624755;0,000999266;-2,307249511;22,588652796;-1,390052059;-11,804911325;-8,920454068;7,798163741;8;168;166;158;1;2;1;1;0;0;-0,845172;-13,0575;0;;;;0,103516;1,0398;0,3;;;;;;;;;;-0,317506;-4,0292;0,0001;2012-01-01;2025-12-01;168;0;0;0;0;0;0;4;1;3;0;0;0;;;;;;;;LS (2014-07);0,020142;8,7907;LS (2021-12);0,008997;3,9262;LS (2023-02);0,009212;3,9395;AO (2024-01);-0,00776;-4,6291;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;166;162;159;0,002506929;0,002453503;QR_Transformed;;;;;;;;;;;;;;;Multiplicative;1;0,101514048;0;None;None;0,218674313;0,011842541;None;None;0;0,999997431;None;None;0,540524835;0,936098146;;;;;;--.AT.aT.--.-t.at;;;;;;--.AT.At.--.--.-t;;;;;;--.--.--.--.--.--;;;;;;--.--.--.--.--.--;0,331666671;;;;;;;;;;0,15445675;0,005504024;0;0,095188921;0;0,058132145;0,759246335;1,3846819;0,953006986;1,049572328;0,848454657;0,405703088;0,455165893;0,845192515;0,002134586;0,000481198;0;0,125733643;0,973541942;Good;0,394672374;9;S3X5;3,854669637;None;0,014601777;0,000001269;Present;None
